"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20260808","2호선","을지로4가","10471","10233","20260811"
"20260808","5호선","을지로4가","3994","4012","20260811"
"20260808","2호선","을지로입구","36334","37614","20260811"
"20260808","경원선","응봉","1259","1061","20260811"
"20260808","6호선","응암","12738","12263","20260811"
"20260808","경부선","의왕","5414","5219","20260811"
"20260808","경원선","의정부","17701","18040","20260811"
"20260808","2호선","이대","12528","12819","20260811"
"20260808","경강선","이매","775","628","20260811"
"20260808","분당선","이매","4077","3890","20260811"
"20260808","7호선","이수","13382","13217","20260811"
"20260808","경강선","이천","2928","3088","20260811"
"20260808","경원선","이촌(국립중앙박물관)","2694","2247","20260811"
"20260808","4호선","이촌(국립중앙박물관)","14712","14829","20260811"
"20260808","6호선","이태원","10980","15433","20260811"
"20260808","과천선","인덕원","16509","16550","20260811"
"20260808","수인선","인천","1278","1700","20260811"
"20260808","경인선","인천","4190","3691","20260811"
"20260808","공항철도 1호선","인천공항1터미널","15946","15448","20260811"
"20260808","공항철도 1호선","인천공항2터미널","15400","11396","20260811"
"20260808","수인선","인천논현","3945","4131","20260811"
"20260808","수인선","인하대","4325","3932","20260811"
"20260808","경의선","일산","7407","7045","20260811"
"20260808","3호선","일원","5440","5503","20260811"
"20260808","경의선","임진강","41","39","20260811"
"20260808","7호선","자양(뚝섬한강공원)","10364","10035","20260811"
"20260808","2호선","잠실(송파구청)","76922","75048","20260811"
"20260808","8호선","잠실(송파구청)","20555","23715","20260811"
"20260808","2호선","잠실나루","8379","8137","20260811"
"20260808","2호선","잠실새내","19664","19753","20260811"
"20260808","3호선","잠원","4919","4743","20260811"
"20260808","7호선","장승배기","6525","6319","20260811"
"20260808","7호선","장암","2158","1527","20260811"
"20260808","8호선","장지","12912","12047","20260811"
"20260808","5호선","장한평","12379","11919","20260811"
"20260808","경원선","전곡","1522","1383","20260811"
"20260808","우이신설선","정릉","3350","2816","20260811"
"20260808","일산선","정발산","6954","6839","20260811"
"20260808","과천선","정부과천청사","6844","6731","20260811"
"20260808","안산선","정왕","6946","6987","20260811"
"20260808","분당선","정자","10507","10543","20260811"
"20260808","1호선","제기동","12913","13243","20260811"
"20260808","경인선","제물포","7209","6928","20260811"
"20260808","1호선","종각","22690","22955","20260811"
"20260808","3호선","종로3가","7614","9832","20260811"
"20260808","1호선","종로3가","21465","20120","20260811"
"20260808","5호선","종로3가","13670","14493","20260811"
"20260808","1호선","종로5가","19069","18711","20260811"
"20260808","2호선","종합운동장","5917","6463","20260811"
"20260808","9호선2~3단계","종합운동장","3838","3668","20260811"
"20260808","경인선","주안","14710","12947","20260811"
"20260808","일산선","주엽","6373","6230","20260811"
"20260808","분당선","죽전","9250","10435","20260811"
"20260808","7호선","중계","9395","8426","20260811"
"20260808","7호선","중곡","7028","6682","20260811"
"20260808","경인선","중동","6338","5954","20260811"
"20260808","중앙선","중랑","4519","4314","20260811"
"20260808","안산선","중앙","14912","15706","20260811"
"20260808","9호선2~3단계","중앙보훈병원","6928","6152","20260811"
"20260808","7호선","중화","8104","7722","20260811"
"20260808","9호선","증미","3824","3563","20260811"
"20260808","6호선","증산(명지대앞)","6693","6453","20260811"
"20260808","3호선","지축","5036","4962","20260811"
"20260808","중앙선","지평","44","70","20260811"
"20260808","경원선","지행","5579","5514","20260811"
"20260808","경부선","직산","856","790","20260811"
"20260808","경부선","진위","1098","900","20260811"
"20260808","경원선","창동","3053","3077","20260811"
"20260808","4호선","창동","18978","19928","20260811"
"20260808","6호선","창신","2219","1752","20260811"
"20260808","경춘선","천마산","1195","1178","20260811"
"20260808","경부선","천안","6902","7173","20260811"
"20260808","7호선","천왕","7109","6868","20260811"
"20260808","5호선","천호(풍납토성)","19393","18177","20260811"
